
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2012-09-01 00:00:00
End date: 2020-10-01 00:00:00
Events found: 3446

Data on or after 2017/10/01 have not been reviewed by the ISC.

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
601705105,NIED     ,2012-09-10,23:17:00   , 36.8000, 141.3000,  8.0,        ,NIED     ,15,2.120, 4.2,  ,      ,      ,      ,      ,      ,      , 15.00,49.00,-104.00,216.00,43.00, -75.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863346,NIED     ,2012-09-11,10:27:00   , 35.0000, 140.0000, 56.0,        ,NIED     ,15,1.220, 4.0,  ,      ,      ,      ,      ,      ,      , 17.00,85.00, -28.00,110.00,62.00,-174.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863346,JMA      ,2012-09-11,10:27:52.10, 34.9900, 139.9600, 71.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 97.00,44.00, 160.00,202.00,76.00,  48.00,  ,      ,43.00, 72.00,      ,20.00,322.00,      ,40.00,214.00
601863350,JMA      ,2012-09-11,11:09:02.90, 35.0100, 139.9800, 70.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,114.00,57.00, 172.00,209.00,83.00,  34.00,  ,      ,28.00, 77.00,      ,18.00,337.00,      ,56.00,218.00
601704943,NIED     ,2012-09-11,11:12:00   , 37.6000, 141.9000, 14.0,        ,NIED     ,15,2.610, 4.2,  ,      ,      ,      ,      ,      ,      , 81.00,38.00, -54.00,218.00,60.00,-115.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601712520,NIED     ,2012-09-12,15:38:00   , 36.2000, 141.1000, 23.0,        ,NIED     ,15,1.580, 4.1,  ,      ,      ,      ,      ,      ,      , 29.00,29.00, -63.00,179.00,65.00,-104.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601819763,NIED     ,2012-09-12,19:42:00   , 37.3000, 141.9000, 32.0,        ,NIED     ,15,1.050, 3.9,  ,      ,      ,      ,      ,      ,      ,112.00,63.00, -32.00,218.00,62.00,-149.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603673831,NIED     ,2012-09-12,19:48:00   , 37.3000, 141.9000, 29.0,        ,NIED     ,14,1.930, 3.5,  ,      ,      ,      ,      ,      ,      , 90.00,57.00, -66.00,230.00,40.00,-123.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863437,NIED     ,2012-09-12,23:32:00   , 36.7000, 141.3000,  5.0,        ,NIED     ,14,4.950, 3.7,  ,      ,      ,      ,      ,      ,      , 31.00,40.00, -69.00,185.00,53.00,-107.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603674085,NIED     ,2012-09-13,09:24:00   , 37.2000, 141.3000, 35.0,        ,NIED     ,14,1.490, 3.4,  ,      ,      ,      ,      ,      ,      , 42.00,18.00, -78.00,210.00,72.00, -94.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601712982,ISC      ,2012-09-13,17:22:07.52, 35.8331, 140.5900, 33.1,        ,ISC      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 39.70,46.46, 129.66,169.43,56.08,  56.12,  ,      ,61.85, 22.75,      , 5.31,282.75,      ,27.56,189.97
601712982,NIED     ,2012-09-13,17:22:00   , 35.9000, 140.6000, 44.0,        ,NIED     ,16,5.150, 5.1,  ,      ,      ,      ,      ,      ,      , 50.00,83.00,  89.00,238.00, 7.00,  98.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601712982,JMA      ,2012-09-13,17:22:06.50, 35.8600, 140.5400, 37.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 55.00,54.00, 108.00,206.00,40.00,  67.00,  ,      ,74.00, 16.00,      , 7.00,132.00,      ,14.00,224.00
601712982,GCMT     ,2012-09-13,17:22:09.40, 35.8500, 140.5900, 20.1,TRUE    ,GCMT     ,16,7.936, 5.2,16, 1.500,-1.290,-0.200, 5.890,-0.922, 5.050, 50.00,84.00,  87.00,255.00, 7.00, 115.00,16, 7.813,51.00,316.00,-8.059,39.00,142.00, 0.247, 3.00, 50.00
601863497,NIED     ,2012-09-14,02:20:00   , 38.4000, 142.1000, 53.0,        ,NIED     ,14,4.620, 3.7,  ,      ,      ,      ,      ,      ,      ,113.00,76.00, 121.00,225.00,33.00,  26.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603674664,NIED     ,2012-09-14,03:01:00   , 37.3000, 141.9000, 35.0,        ,NIED     ,14,1.050, 3.3,  ,      ,      ,      ,      ,      ,      ,171.00,70.00, 167.00,266.00,77.00,  20.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601851682,NIED     ,2012-09-14,10:13:00   , 35.3000, 143.0000,  5.0,        ,NIED     ,15,1.010, 3.9,  ,      ,      ,      ,      ,      ,      , 16.00,42.00,-108.00,220.00,50.00, -74.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
603614251,NIED     ,2012-09-15,00:14:00   , 38.8000, 142.6000, 35.0,        ,NIED     ,14,3.470, 3.6,  ,      ,      ,      ,      ,      ,      ,185.00,64.00, -70.00,325.00,32.00,-125.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601717918,NIED     ,2012-09-15,16:09:00   , 35.8000, 141.1000, 11.0,        ,NIED     ,15,2.750, 4.2,  ,      ,      ,      ,      ,      ,      ,  3.00,45.00, -89.00,181.00,45.00, -91.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601717918,JMA      ,2012-09-15,16:09:45.80, 35.7600, 141.0000, 14.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,219.00,65.00, -50.00,335.00,46.00,-144.00,  ,      ,11.00,281.00,      ,52.00,177.00,      ,36.00, 19.00
